J0749-68;0.915171;26.00;117.708333;-68.740833;0.11;
J0750+57;1.174875;27.00;117.500000;57.000000;1.62;
J0751+1807;0.003479;30.25;117.788147;18.127357;0.43;
B0751+32;1.442349;39.99;118.669533;32.532278;1.46;
B0756-15;0.682265;63.33;119.621128;-15.469094;2.71;
J0804-3647;2.191987;196.00;121.092500;-36.793194;3.35;
J0806+08;2.063100;46.00;121.520833;8.283333;1.85;
J0806-4123;11.370386;*;121.597500;-41.375250;*;
J0807-5421;0.526644;165.03;121.946604;-54.357350;0.89;
J0808-3937;0.866349;165.00;122.048458;-39.631361;2.60;
B0808-47;0.547199;228.30;122.432875;-47.898650;6.49;
J0812-3905;0.482596;327.00;123.061675;-39.096922;5.83;
B0809+74;1.292241;5.75;123.747917;74.484917;0.37;
J0815+0939;0.645161;52.66;123.786567;9.664083;2.49;
J0818-3049;0.763742;133.70;124.705417;-30.825278;0.43;
J0818-3232;2.161259;131.80;124.608063;-32.541814;0.48;
B0818-13;1.238130;40.94;125.109924;-13.848850;2.32;
J0820-3826;0.124836;195.56;125.249717;-38.445244;4.09;
J0820-3921;1.073567;179.40;125.204625;-39.365472;3.58;
B0818-41;0.545446;113.40;125.064375;-41.243444;0.57;
J0821-4221;0.396728;270.60;125.435983;-42.357072;5.80;
J0821-4300;0.112799;*;125.489022;-43.004743;*;
B0820+02;0.864873;23.73;125.790700;1.986781;0.81;
J0824+00;0.009900;35.00;126.066667;0.450000;1.72;
B0823+26;0.530661;19.48;126.714097;26.623275;0.31;
B0826-34;1.848919;52.20;127.069273;-34.285291;0.35;
J0831-4406;0.311674;254.00;127.885125;-44.103306;5.88;
J0834-4159;0.121116;240.50;128.567917;-41.997500;5.51;
J0834-60;0.384645;20.00;128.708333;-60.583333;0.10;
J0835-3707;0.541404;112.30;128.762833;-37.130972;0.55;
J0835-42;0.738400;190.00;128.904167;-42.543611;4.21;
B0833-45;0.089328;67.99;128.835881;-45.176354;0.33;
B0834+06;1.273768;12.86;129.273508;6.170711;0.19;
J0837-24;*;142.80;129.433333;-24.796667;25.00;
B0835-41;0.751624;147.29;129.338257;-41.587325;1.43;
J0838-2621;0.308581;116.90;129.578338;-26.358208;4.09;
J0838-3947;1.703946;219.00;129.628333;-39.789444;5.10;
B0839-53;0.720612;156.50;130.141167;-53.543194;0.57;
B0840-48;0.644354;196.85;130.522375;-48.855778;3.10;
J0843+0719;1.365860;36.60;130.890917;7.313278;2.07;
J0843-5022;0.208956;178.47;130.791183;-50.378639;1.57;
B0844-35;1.116097;94.16;131.525252;-35.561292;0.54;
J0847-4316;5.977493;292.50;131.988875;-43.282444;6.55;
J0848+16;0.452400;38.00;132.220833;16.716667;2.28;
J0849-6322;0.367953;91.29;132.427458;-63.376389;0.38;
B0841+80;1.602228;34.81;132.256282;80.483090;3.30;
