J1829+0000;0.199147;114.00;277.446417;0.002361;4.27;
J1829-0734;0.318401;316.80;277.272375;-7.572778;6.10;
J1829-1011;0.829166;610.00;277.275250;-10.190278;4.94;
B1826-17;0.307133;217.11;277.429738;-17.851083;5.94;
J1829+2456;0.041010;13.80;277.394445;24.938387;0.91;
J1830-0052;0.345698;220.40;277.627917;-0.881667;10.25;
J1830-0131;0.457536;95.70;277.581717;-1.530028;3.50;
J1830-10;0.245260;203.00;277.525000;-10.650000;3.42;
B1828-11;0.405043;161.50;277.698196;-10.991091;3.16;
J1830-1135;6.221553;257.00;277.507167;-11.592222;3.76;
J1830-1313;0.747188;537.00;277.674917;-13.221167;12.63;
J1830-1414;0.771493;393.60;277.501458;-14.243611;10.08;
J1831-0823;0.612133;245.90;277.901392;-8.389972;3.89;
J1831-0952;0.067267;247.00;277.892933;-9.867139;3.68;
J1831-1223;2.857941;342.00;277.803458;-12.391944;4.88;
J1831-1329;2.165679;338.00;277.983167;-13.498889;6.30;
J1831-1423;0.507945;352.00;277.871250;-14.396111;10.12;
J1832+0029;0.533917;28.30;278.211250;0.490833;1.04;
J1832-0644;0.744295;578.00;278.177792;-6.733833;10.37;
B1829-08;0.647293;300.87;278.154250;-8.451011;4.05;
J1832-0836;0.002719;28.18;278.114973;-8.615272;0.81;
B1829-10;0.330354;475.70;278.170278;-10.359104;4.69;
J1832-28;0.199300;127.00;278.125000;-28.716667;8.17;
J1833-0209;0.291931;325.40;278.272546;-2.154556;13.33;
B1831-03;0.686704;234.54;278.424644;-3.651203;5.17;
J1833-0556;1.521545;461.00;278.412000;-5.934722;9.38;
J1833-0559;0.483459;353.00;278.281667;-5.990278;7.12;
B1830-08;0.085284;411.00;278.417917;-8.458679;4.38;
J1833-0831;7.565408;*;278.434875;-8.518806;*;
J1833-1034;0.061884;169.50;278.389875;-10.568750;3.36;
J1833-1055;0.633640;543.00;278.493333;-10.925278;7.70;
B1828-60;1.889436;35.00;278.311667;-60.384444;1.34;
B1831-00;0.520954;88.65;278.571900;-0.181467;3.35;
J1834-0031;0.329532;155.10;278.712888;-0.526194;4.68;
B1831-04;0.290108;79.31;278.606678;-4.437733;2.49;
J1834-0602;0.487914;445.00;278.658208;-6.043056;6.30;
J1834-0633;0.317315;707.00;278.621875;-6.550306;8.29;
J1834-0731;0.512980;295.00;278.566667;-7.518611;4.10;
J1834-0742;0.788354;552.00;278.630500;-7.705722;4.91;
J1834-0812;0.491142;1020.00;278.624167;-8.200000;5.95;
J1834-0845;2.482302;*;278.717158;-8.765561;*;
J1834-09;0.512327;529.00;278.650000;-9.250000;4.86;
J1834+10;1.172719;78.48;278.612500;10.733333;4.12;
J1834-1202;0.610259;342.40;278.596333;-12.040667;6.11;
J1834-1710;0.358306;123.80;278.722504;-17.180556;3.41;
J1834-1855;1.465656;185.20;278.691417;-18.933056;8.12;
J1835-0114;0.005116;98.00;278.841325;-1.242669;3.45;
J1835-0349;0.841865;269.60;278.803942;-3.819417;5.51;
J1835-0522;1.087749;456.00;278.783833;-5.368889;8.77;
B1832-06;0.305830;472.90;278.773174;-6.718433;5.06;
J1835-0924;0.859192;471.00;278.908417;-9.407500;5.03;
J1835-09242;0.235249;500.00;278.840925;-9.404417;5.05;
J1835-0928;0.621734;450.00;278.842583;-9.467222;4.87;
J1835-0944;0.145347;277.20;278.944417;-9.741389;4.22;
J1835-0946;0.379536;193.30;278.936917;-9.777222;3.63;
J1835-1020;0.302450;113.70;278.989910;-10.334583;2.87;
J1835-1106;0.165907;132.68;278.826196;-11.104194;3.16;
J1835-1548;0.670486;327.00;278.959708;-15.810556;19.53;
J1835-3259A;0.003889;63.35;278.933333;-32.990278;2.71;
B1834-04;0.354237;231.50;279.215793;-4.610466;4.36;
J1836-0517;0.457245;564.00;279.105000;-5.293056;8.25;
B1834-10;0.562711;316.98;279.224691;-10.135653;5.36;
J1836-11;0.496193;326.00;279.025000;-11.283333;6.07;
J1836-1324;0.178756;157.33;279.217863;-13.409333;3.64;
J1836-2354A;0.003354;89.11;279.106022;-23.914553;3.27;
J1836-2354B;0.003232;93.30;279.101463;-23.907972;3.46;
J1836+5925;0.173264;*;279.056975;59.425042;*;
J1837-0045;0.617037;86.98;279.383975;-0.752956;3.14;
J1837+0053;0.473513;124.00;279.368542;0.886944;4.25;
J1837-0559;0.201063;317.80;279.348596;-5.991194;4.31;
J1837-0604;0.096294;462.00;279.431458;-6.080278;4.78;
B1834-06;1.905809;316.10;279.311043;-6.883921;4.14;
J1837-08;1.099000;510.00;279.429167;-8.334444;5.26;
J1837+1221;1.963532;100.60;279.279667;12.365000;6.60;
J1837-1243;1.876019;300.00;279.289208;-12.732222;8.26;
J1837-1837;0.618358;100.74;279.476042;-18.618889;3.23;
J1838-01;0.183295;320.40;279.625000;-1.016667;7.76;
J1838-0107;0.444426;268.90;279.664263;-1.130178;6.10;
J1838-0453;0.380831;621.00;279.546625;-4.889722;6.68;
J1838-0537;0.145708;*;279.733417;-5.619167;*;
J1838-0549;0.235303;274.00;279.658708;-5.820000;4.05;
J1838-0624;0.927178;424.00;279.715750;-6.415000;4.54;
J1838-0655;0.070498;*;279.513042;-6.925944;*;
J1838-1046;1.218354;208.00;279.610333;-10.782500;4.11;
J1838+1650;1.901967;32.95;279.679425;16.837792;1.54;
J1838-1849;0.488242;169.90;279.640792;-18.833056;8.39;
J1839-0141;0.933266;293.20;279.779103;-1.698889;6.07;
J1839-0223;1.266790;330.00;279.991800;-2.385972;6.09;
J1839-0321;0.238778;449.10;279.906313;-3.352917;7.80;
J1839-0332;2.675682;195.10;279.985763;-3.549611;4.04;
J1839-0402;0.520940;242.00;279.962750;-4.040250;4.27;
J1839-0436;0.149461;292.70;279.750267;-4.615972;4.48;
J1839-0459;0.585319;243.00;279.927579;-4.999667;3.98;
J1839-0627;0.484914;88.50;279.835250;-6.459444;2.46;
J1839-0643;0.449548;497.90;279.790846;-6.729222;4.82;
J1839-0905;0.418969;348.00;279.972742;-9.087444;7.03;
J1839-1238;1.911428;169.80;279.932117;-12.644639;3.98;
J1839+15;0.549161;68.10;279.750000;15.000000;3.43;
J1840+0214;0.797478;182.40;280.142029;2.248528;5.84;
J1840-04;0.422300;380.00;280.204167;-4.640833;4.59;
J1840-0559;0.859368;321.70;280.096583;-5.987833;4.24;
J1840-0626;1.893353;748.00;280.067958;-6.437611;5.72;
J1840-0643;0.035578;500.00;280.039333;-6.729722;5.01;
J1840-0753;0.437869;691.00;280.198333;-7.892222;14.23;
J1840-0809;0.955672;349.80;280.139017;-8.150917;5.75;
J1840-0815;1.096440;233.20;280.057396;-8.252944;4.19;
J1840-0840;5.309377;272.00;280.216250;-8.674722;5.10;
J1840-1122;0.940962;311.00;280.100275;-11.369639;9.96;
J1840-1207;0.754470;302.30;280.224092;-12.125722;11.83;
J1840-1419;6.597563;19.40;280.137333;-14.318056;0.72;
B1839+56;1.652862;26.77;280.185867;56.682075;2.19;
J1841+0130;0.029773;125.88;280.324004;1.504694;4.23;
J1841-0157;0.663321;475.00;280.484196;-1.965167;7.94;
J1841-0310;1.657656;216.00;280.357875;-3.172500;4.17;
J1841-0345;0.204068;194.32;280.411167;-3.811833;3.78;
B1838-04;0.186149;325.49;280.273596;-4.422083;4.40;
J1841-0456;11.788978;*;280.330596;-4.936433;*;
J1841-0500;0.912914;532.00;280.325583;-5.005417;4.97;
J1841-0524;0.445749;289.00;280.455500;-5.408194;4.14;
B1839+09;0.381319;49.16;280.483166;9.202043;1.66;
J1841-1404;1.334557;267.00;280.392917;-14.071944;14.22;
J1841-7845;0.353603;41.00;280.357917;-78.754167;2.46;
J1842-0153;1.054228;434.00;280.741125;-1.890750;6.97;
J1842+0257;3.088256;148.10;280.628875;2.966333;5.04;
J1842-0309;0.404920;955.00;280.579250;-3.162778;8.58;
J1842+0358;0.233326;109.90;280.570925;3.976472;4.33;
B1839-04;1.839944;195.98;280.610324;-3.999954;3.71;
J1842-0415;0.526682;188.00;280.547037;-4.260611;3.64;
J1842-0612;0.564475;485.00;280.679375;-6.210000;5.73;
J1842+0638;0.313016;212.20;280.541675;6.637500;15.94;
J1842-0800;1.255469;188.60;280.728929;-8.014861;3.95;
J1842-0905;0.344643;343.30;280.592242;-9.090167;9.72;
J1842+1332;0.471604;102.50;280.624833;13.533750;6.43;
J1843-0000;0.880330;101.50;280.866508;-0.011361;3.33;
J1843-0050;0.782598;507.00;280.903000;-0.836111;8.30;
J1843-0137;0.669872;486.00;280.802625;-1.629528;7.67;
J1843-0211;2.027524;441.70;280.876367;-2.184111;5.94;
J1843-0355;0.132314;797.60;280.777792;-3.932222;5.80;
J1843-0408;0.781934;246.00;280.931000;-4.134444;3.98;
J1843-0459;0.754963;444.10;280.865179;-4.991778;4.89;
J1843-0510;0.671614;257.00;280.790550;-5.167917;4.07;
J1843-0702;0.191614;228.10;280.843504;-7.048500;4.28;
J1843-0744;0.475393;321.00;280.772863;-7.741694;7.05;
J1843-0806;0.536414;215.80;280.869646;-8.112472;4.31;
J1843-1113;0.001846;59.96;280.921925;-11.225297;1.71;
J1843-1448;0.005471;114.51;280.755729;-14.803503;3.47;
J1843-1507;0.583550;215.50;280.890029;-15.117500;12.02;
J1843+2024;3.406539;85.30;280.859083;20.415167;6.03;
J1844+00;0.460503;345.54;281.045833;0.583333;6.84;
J1844-0030;0.641098;605.00;281.171246;-0.507167;10.44;
J1844+0115;0.004186;148.22;281.168948;1.259715;4.36;
B1842-02;0.507722;429.00;281.187397;-2.744703;4.92;
J1844-0256;0.272963;820.20;281.220833;-2.933333;6.02;
J1844-03;6.971270;*;281.237500;-3.000000;*;
J1844-0302;1.198630;533.00;281.028825;-3.036444;5.26;
J1844-0310;0.525049;836.10;281.189500;-3.176972;5.97;
J1844-0346;0.112855;*;281.137042;-3.775167;*;
B1841-04;0.991027;123.16;281.139385;-4.553448;3.07;
J1844-0452;0.269443;626.00;281.006417;-4.872472;5.69;
J1844-0502;0.335163;318.00;281.141500;-5.033472;4.58;
B1841-05;0.255699;412.80;281.021285;-5.642829;5.41;
B1842+14;0.375463;41.49;281.228727;14.903922;1.68;
J1845-0316;0.207636;500.00;281.470417;-3.268056;5.07;
B1842-04;0.486751;230.80;281.394624;-4.574950;4.09;
J1845-0545;1.092348;315.90;281.410375;-5.755056;5.48;
J1845+0623;1.421654;113.00;281.285792;6.399333;4.92;
J1845-0635;0.340528;414.00;281.280858;-6.589833;9.40;
J1845-0743;0.104695;281.00;281.488250;-7.727333;7.10;
J1845-0826;0.634354;228.20;281.273721;-8.444361;5.01;
J1845-1114;0.206220;206.70;281.440742;-11.236389;6.74;
J1845-1351;2.618918;197.40;281.297917;-13.865139;9.18;
J1846+0051;0.434373;140.00;281.682588;0.860833;4.00;
J1846-0257;4.476723;237.00;281.564542;-2.960000;4.00;
J1846-0258;0.326571;*;281.603917;-2.975028;*;
J1846-0749;0.350110;388.30;281.582267;-7.822611;13.93;
J1846-07492;0.861380;192.00;281.533329;-7.820333;4.24;
J1846+0919;0.225551;*;281.608333;9.329444;*;
J1846-42;2.273000;62.00;281.500000;-42.816667;3.74;
J1846-7403;4.878839;97.00;281.557417;-74.051111;25.00;
J1847-0130;6.707046;667.00;281.896708;-1.512778;5.80;
B1844-04;0.597792;141.98;281.845178;-4.037294;3.42;
J1847-0427;0.259247;188.30;281.828583;-4.466389;3.97;
J1847-0438;0.957991;229.00;281.908021;-4.637583;4.38;
J1847-0443;0.340832;454.90;281.966042;-4.726722;8.51;
J1847-0605;0.778164;207.90;281.837796;-6.087250;4.32;
J1848-0023;0.537624;30.60;282.157875;-0.388056;1.08;
J1848-0055;0.274557;1166.00;282.189583;-0.931389;7.41;
B1845-01;0.659432;159.53;282.098290;-1.399536;3.53;
J1848+0351;0.191443;336.60;282.176000;3.859917;11.79;
J1848-0511;1.637129;418.00;282.062542;-5.193889;8.80;
J1848-0601;0.225004;496.60;282.084788;-6.018806;15.66;
J1848+0604;2.218603;242.70;282.227592;6.079667;12.61;
J1848+0647;0.505957;27.90;282.233375;6.792139;1.13;
J1848+0826;0.328665;90.68;282.182375;8.443306;3.87;
J1848-1150;1.312218;163.40;282.049208;-11.835889;5.65;
J1848+12;0.754730;139.00;282.125000;12.833333;9.52;
J1848-1243;0.414383;91.96;282.075108;-12.725000;3.15;
J1848-1414;0.297770;134.47;282.163148;-14.238163;5.27;
B1845-19;4.308190;18.23;282.075144;-19.875246;0.75;
J1849-0001;0.038519;*;282.256708;-0.021556;*;
J1849-0040;0.672481;1234.90;282.292708;-0.672222;7.78;
J1849+0127;0.542155;207.30;282.434083;1.456389;4.69;
J1849-0317;0.668408;42.90;282.491042;-3.291944;1.27;
J1849+0409;0.761194;56.10;282.264462;4.161750;1.67;
J1849-0614;0.953384;119.60;282.438154;-6.242083;3.52;
B1846-06;1.451319;148.17;282.276815;-6.618585;3.85;
J1849+2423;0.275641;62.27;282.394485;24.396104;3.98;
J1850-0006;2.191498;570.00;282.699708;-0.107250;5.63;
J1850-0026;0.166634;947.00;282.561308;-0.436556;6.71;
J1850+0026;1.081844;201.40;282.688100;0.440444;4.05;
J1850-0031;0.734185;895.00;282.639125;-0.519167;6.50;
J1850+0124;0.003560;118.89;282.504225;1.409614;3.39;
J1850+0242;0.004480;540.07;282.673679;2.715956;12.30;
J1850+0423;0.290716;265.80;282.597625;4.385889;8.23;
B1848+13;0.345582;60.14;282.647807;13.599554;2.17;
J1850+15;1.383965;24.70;282.537500;15.533333;1.22;
J1851-0029;0.518721;510.00;282.979554;-0.499472;5.45;
J1851-0053;1.409065;24.00;282.763208;-0.885361;0.96;
J1851-0114;0.953182;427.20;282.818375;-1.237056;5.22;
J1851+0118;0.906977;418.00;282.967417;1.316389;5.64;
J1851+0233;0.344018;606.00;282.788042;2.562889;12.64;
J1851-0241;0.435194;515.00;282.813583;-2.691944;7.93;
B1848+04;0.284697;115.54;282.763745;4.303337;4.09;
B1848+12;1.205303;70.63;282.805065;12.993135;2.64;
J1852+0008;0.467894;254.90;283.178250;0.136000;4.32;
J1852+0013;0.957751;545.00;283.174079;0.232528;5.58;
B1849+00;2.180195;787.00;283.114255;0.533885;6.40;
J1852+0033;11.558713;*;283.194167;0.555806;*;
J1852+0040;0.104913;*;283.160708;0.672167;*;
J1852-0118;0.451473;286.00;283.071458;-1.304111;4.72;
J1852-0127;0.428979;431.00;283.015000;-1.456500;5.71;
J1852+0305;1.326149;320.00;283.135833;3.084722;6.39;
J1852-0635;0.524151;171.00;283.239083;-6.599167;4.51;
J1852-2610;0.336337;56.81;283.247783;-26.170195;2.46;
J1853-0004;0.101436;438.20;283.345908;-0.075639;5.34;
J1853+0011;0.397882;568.80;283.374867;0.191583;5.81;
J1853+0056;0.275578;180.90;283.386083;0.949722;3.84;
J1853+03;0.585530;290.20;283.250000;3.000000;5.86;
J1853+0505;0.905137;279.00;283.268167;5.090583;9.14;
J1853+0545;0.126400;198.70;283.493379;5.765350;6.54;
J1853-0649;1.048132;44.54;283.355925;-6.823861;1.29;
J1853+0853;3.914658;214.00;283.341958;8.888056;12.63;
J1853+1303;0.004092;30.57;283.488827;13.062239;1.32;
J1854+00;0.767330;532.90;283.500000;0.000000;5.96;
J1854+0306;4.557820;192.40;283.512417;3.103889;4.49;
J1854+0317;1.366450;404.00;283.621083;3.291944;7.10;
J1854+0319;0.628541;480.20;283.500458;3.320222;9.51;
B1852+10;0.573197;207.20;283.622230;10.778369;13.83;
B1851-14;1.146595;130.40;283.684553;-14.357340;6.91;
J1854-1557;3.453200;160.00;283.723333;-15.956111;12.94;
J1855+0205;0.246817;867.30;283.925192;2.093444;7.04;
J1855+0306;1.633565;634.00;283.909333;3.106111;7.46;
J1855+0307;0.845348;402.50;283.860958;3.122278;5.93;
J1855+0422;1.678106;438.00;283.922375;4.379722;9.97;
J1855+0527;1.393484;362.00;283.812804;5.461306;11.70;
J1855+0700;0.258685;244.00;283.823833;7.010306;10.35;
J1855-0941;0.345401;151.99;283.815333;-9.683889;6.11;
J1856+0102;0.620217;554.00;284.118763;1.036278;6.55;
B1853+01;0.267440;96.74;284.044382;1.222576;2.82;
J1856+0245;0.080907;623.50;284.212083;2.763056;6.32;
J1856+0404;0.420252;341.30;284.110833;4.073889;6.23;
J1856-0526;0.370483;130.50;284.091571;-5.449111;4.01;
J1856-3754;7.055203;*;284.147542;-37.902222;*;
B1854+00;0.356929;82.39;284.253367;0.954659;2.51;
J1857+0143;0.139760;249.00;284.387533;1.729722;4.57;
J1857+0210;0.630983;783.00;284.420417;2.182778;7.25;
B1855+02;0.415823;506.77;284.431843;2.211420;5.93;
J1857+0300;0.772678;691.00;284.320458;3.007222;6.66;
J1857+0526;0.349951;466.40;284.316067;5.441306;12.27;
J1857+0809;0.502924;282.00;284.288792;8.151194;13.17;
B1855+09;0.005362;13.30;284.401628;9.721446;0.77;
J1857-1027;3.687219;108.90;284.360208;-10.450278;4.04;
J1858+02;0.197650;492.10;284.500000;2.000000;6.10;
J1858+0215;0.745828;702.00;284.572625;2.260556;7.21;
J1858+0241;4.693233;336.00;284.724208;2.693889;5.15;
J1858+0319;0.867444;284.00;284.670333;3.322639;4.78;
J1858+0346;0.256844;386.00;284.593167;3.777167;5.49;
J1858-0736;0.551059;194.00;284.684583;-7.616667;10.15;
J1858-2216;0.002380;26.60;284.500000;-22.266667;0.92;
J1859+00;0.559634;420.00;284.941667;0.583333;7.70;
J1859+0601;1.044313;276.00;284.940667;6.029472;6.42;
J1859+0603;0.508561;378.60;284.925546;6.065139;8.99;
J1859+1526;0.933972;97.45;284.934954;15.436389;4.12;
J1859+76;1.393617;47.00;284.750000;76.900000;5.90;
J1900-0051;0.385194;136.80;285.194350;-0.852333;4.23;
J1900+0227;0.374262;201.10;285.160833;2.458889;4.51;
J1900+0308;0.004909;249.90;285.210645;3.140022;4.80;
J1900+0438;0.312314;627.00;285.055625;4.646333;6.99;
J1900+0634;0.389869;323.40;285.116808;6.572472;8.61;
J1900-09;1.424000;150.00;285.058333;-9.468611;7.98;
B1857-26;0.612209;37.99;285.198258;-26.012167;1.24;
J1900+30;0.602227;71.84;285.075000;30.883333;6.84;
B1851-79;1.279193;39.00;285.101667;-79.863389;2.37;
J1901+00;0.777662;345.50;285.383333;0.433333;7.42;
J1901+0124;0.318817;314.40;285.468937;1.413694;6.60;
B1859+01;0.288219;105.39;285.392869;1.943949;3.23;
J1901+0234;0.885240;404.00;285.362208;2.580944;7.53;
J1901+0254;1.299693;185.00;285.315292;2.911389;4.30;
J1901+0300;0.007797;253.89;285.498403;3.006479;5.29;
J1901-0312;0.355725;106.40;285.315312;-3.208194;3.77;
J1901-0315;0.801693;242.60;285.318042;-3.253972;8.45;
J1901+0320;0.636584;393.00;285.262542;3.338333;5.88;
B1859+03;0.655450;402.08;285.382421;3.518325;6.06;
J1901+0355;0.554756;547.00;285.378375;3.933028;6.67;
J1901+0413;2.663080;352.00;285.292917;4.230833;5.34;
J1901+0435;0.690576;1042.60;285.384167;4.589722;10.32;
J1901+0459;0.877044;1108.00;285.322792;4.985222;12.07;
J1901+0510;0.614757;429.00;285.491042;5.176111;5.92;
J1901+0511;4.600369;410.00;285.428792;5.183389;5.83;
J1901+0621;0.832002;94.00;285.274833;6.355278;2.94;
B1859+07;0.643999;252.81;285.412236;7.276335;7.27;
J1901-0906;1.781928;72.68;285.470896;-9.103002;2.89;
J1901+1306;1.830857;75.10;285.453208;13.113417;2.50;
J1901-1740;1.956858;24.40;285.325125;-17.666667;0.89;
J1902+02;0.415320;281.20;285.500000;2.000000;6.06;
J1902+0248;1.223777;272.00;285.709417;2.815556;5.99;
J1902-0340;1.524672;114.00;285.711250;-3.671667;4.05;
B1900+05;0.746577;177.49;285.677585;5.940533;4.20;
B1900+06;0.673503;502.90;285.709488;6.275947;7.19;
J1902+0723;0.487813;105.00;285.556417;7.397500;3.33;
J1902-10;0.786800;91.00;285.575000;-10.659167;3.77;
J1902-5105;0.001742;36.25;285.511868;-51.099158;1.65;
J1902-70;0.003600;19.50;285.500000;-70.000000;0.92;
B1900+01;0.729306;245.17;285.874928;1.593992;6.01;
J1903-0258;0.301459;113.00;285.876429;-2.971000;4.04;
J1903+0327;0.002150;297.52;285.774138;3.455336;6.11;
J1903+0415;1.151390;473.50;285.750000;4.250000;6.87;
J1903+0601;0.374117;388.00;285.836975;6.026111;5.89;
B1900-06;0.431887;195.61;285.908083;-6.539428;12.45;
J1903+0654;0.791232;329.00;285.980333;6.910944;5.93;
J1903-0848;0.887325;66.99;285.796963;-8.815944;2.61;
J1903+0925;0.357155;162.00;285.979917;9.431944;6.25;
J1903+2225;0.651185;109.20;285.970625;22.420083;5.76;
J1903-7051;0.003598;19.66;285.911640;-70.862073;0.93;
J1904+0004;0.139525;233.61;286.052992;0.068136;6.36;
J1904-0150;0.379387;162.20;286.231479;-1.842361;5.30;
J1904+0412;0.071095;185.90;286.130758;4.201639;4.58;
J1904+0451;0.006092;182.71;286.247437;4.865265;4.40;
J1904+0738;0.208958;278.32;286.031387;7.647692;6.15;
J1904+0800;0.263345;438.80;286.014583;8.014611;10.95;
B1901+10;1.856570;135.00;286.010375;10.192944;5.50;
J1904-1224;0.750808;118.23;286.138673;-12.400366;7.27;
J1904-16;1.541000;150.00;286.187500;-16.413056;25.00;
B1902-01;0.643181;229.13;286.365564;-0.944710;7.64;
J1905+0154A;0.003193;193.69;286.314167;1.909167;5.51;
J1905+0400;0.003784;25.69;286.367806;4.003023;1.06;
J1905+0600;0.441210;730.10;286.268125;6.016639;8.81;
J1905+0616;0.989706;256.05;286.278537;6.271306;4.95;
B1903+07;0.648040;245.34;286.473426;7.155379;4.98;
J1905+0902;0.218253;433.40;286.331396;9.042358;11.56;
J1906+0055;0.002790;126.83;286.702835;0.918857;4.48;
J1906+0414;1.043362;349.00;286.740804;4.241511;10.07;
J1906+0509;0.397590;99.50;286.735404;5.159889;3.09;
B1904+06;0.267275;472.80;286.646854;6.684139;6.81;
J1906+0649;1.286564;249.00;286.549875;6.830028;4.97;
J1906+0722;0.111524;*;286.630000;7.382167;*;
J1906+0725;1.536510;480.40;286.500000;7.416667;7.07;
J1906+0746;0.144073;217.75;286.703583;7.773861;4.82;
J1906+0912;0.775345;265.00;286.618583;9.215722;7.39;
J1906+1854;1.019093;156.77;286.686292;18.902361;6.72;
J1907+0249;0.351879;261.00;286.925125;2.828056;8.75;
J1907+0255;0.618761;257.00;286.824583;2.917417;7.98;
J1907+0345;0.240153;311.70;286.810596;3.752944;9.49;
J1907+05;0.168680;456.70;286.750000;5.000000;11.85;
J1907+0534;1.138403;524.00;286.847250;5.581389;11.84;
J1907+0602;0.106633;82.10;286.978083;6.038028;2.58;
J1907+0631;0.323648;428.60;286.765900;6.521917;6.78;
J1907+0731;0.363676;239.80;286.978292;7.522750;4.99;
J1907+0740;0.574698;332.00;286.933825;7.672944;5.81;
J1907+0859;1.527042;190.00;286.757971;8.995500;4.99;
J1907+0918;0.226107;357.90;286.843504;9.308544;8.22;
J1907+0919;5.198346;*;286.809708;9.322250;*;
J1907+1149;1.420160;202.80;286.907417;11.826972;7.55;
B1904+12;0.827097;257.00;286.794583;12.793306;10.52;
J1907-1532;0.632235;72.60;286.778250;-15.537472;3.47;
B1905+39;1.235757;30.97;286.894400;40.034919;2.46;
J1908+0457;0.846793;360.00;287.067292;4.961389;11.29;
J1908+0500;0.291021;201.42;287.021508;5.015125;5.84;
J1908+0734;0.212353;11.10;287.070875;7.570656;0.67;
J1908+0833;0.512111;700.10;287.087333;8.558750;11.32;
J1908+0839;0.185397;512.10;287.077125;8.666444;8.27;
J1908+0909;0.336555;467.50;287.030987;9.153444;8.87;
B1906+09;0.830270;249.80;287.244833;9.270556;5.56;
J1908+2351;0.377578;101.69;287.133083;23.861639;5.40;
B1907+00;1.016948;112.79;287.396907;0.132714;4.36;
B1907+02;0.989831;171.73;287.409627;2.914076;5.88;
J1909+0616;0.755993;352.00;287.463375;6.281056;9.56;
J1909+0641;0.741762;36.70;287.371050;6.690500;1.33;
J1909+0749;0.237161;539.36;287.284167;7.825556;8.29;
J1909+0912;0.222949;421.50;287.332958;9.214917;7.61;
B1907+10;0.283641;149.98;287.452891;11.034263;4.79;
J1909+1148;0.448945;199.80;287.380746;11.816628;7.13;
J1909+1450;0.996108;119.50;287.362333;14.849444;4.41;
J1909+1859;0.542451;64.52;287.327517;18.986317;2.45;
J1909+21;0.002560;62.00;287.383333;21.050000;2.59;
J1909-3744;0.002947;10.39;287.447644;-37.737352;0.56;
J1910-0112;1.360603;178.00;287.565417;-1.201667;8.12;
J1910+0225;0.337855;209.00;287.543162;2.423222;7.94;
B1907-03;0.504605;205.53;287.623659;-3.165020;14.44;
B1907+03;2.330263;82.93;287.537766;3.974451;2.86;
J1910+0517;0.308048;300.00;287.657946;5.298917;11.00;
J1910+0534;0.452867;484.00;287.610458;5.569167;21.29;
J1910+0714;2.712423;124.06;287.577487;7.236611;3.68;
J1910+0728;0.325415;283.70;287.591996;7.476969;6.23;
J1910+1027;0.531470;705.70;287.500000;10.450000;16.74;
B1907+12;1.441742;258.64;287.556413;12.527829;8.14;
J1910+1256;0.004984;38.07;287.540423;12.940409;1.50;
J1910-5959A;0.003266;33.70;287.928148;-59.974140;1.69;
J1910-5959B;0.008358;33.28;287.716898;-59.983573;1.63;
J1910-5959C;0.005277;33.21;287.773147;-60.016583;1.63;
J1910-5959D;0.009035;33.28;287.718401;-59.984855;1.63;
J1910-5959E;0.004572;33.31;287.717322;-59.983913;1.63;
J1911+00;6.940000;100.00;287.950000;0.616667;4.05;
B1908+00A;0.003619;202.68;287.796207;1.036039;9.21;
J1911+0101B;0.005384;196.69;287.802385;1.030678;8.70;
J1911+09;0.273710;334.70;287.750000;9.000000;6.24;
J1911+10;0.190890;446.20;287.750000;10.000000;8.09;
J1911-1114;0.003626;31.02;287.955343;-11.239578;1.07;
J1911+1347;0.004626;30.99;287.980019;13.792884;1.36;
J1911+1758;0.460406;48.98;287.980792;17.979386;1.96;
B1910+10;0.409349;147.00;288.193042;10.611556;4.15;
B1910+20;2.232969;88.60;288.180644;21.076051;3.37;
J1912+2525;0.621976;37.85;288.077608;25.417256;2.15;
B1911-04;0.825936;89.39;288.475723;-4.679911;4.04;
J1913+0446;1.616130;109.10;288.461750;4.768333;4.34;
J1913+0617;0.005030;155.80;288.250000;6.283333;5.76;
J1913+0657;1.257181;142.00;288.387167;6.956750;5.07;
J1913+0832;0.134409;355.20;288.252083;8.534750;8.20;
J1913+0904;0.163246;95.30;288.337754;9.079278;3.00;
B1911+09;1.241965;157.00;288.469583;9.611611;4.34;
J1913+1000;0.837148;422.00;288.264958;10.000667;7.67;
J1913+1011;0.035909;178.80;288.334754;10.189714;4.61;
J1913+1050;0.190067;231.10;288.397350;10.840722;5.45;
J1913+1102;0.027285;338.96;288.371059;11.034928;7.13;
J1913+1103;0.923910;628.90;288.250000;11.050000;12.19;
J1913+1145;0.306069;637.00;288.432833;11.759194;13.78;
J1913+1330;0.923391;175.64;288.324896;13.509111;6.18;
B1911+13;0.521473;145.05;288.351489;14.014644;5.25;
J1913+3732;0.851079;72.33;288.366196;37.536750;7.59;
J1914+0219;0.457527;233.80;288.599142;2.329944;14.13;
J1914+0631;0.693811;58.00;288.571833;6.532306;1.78;
J1914+0659;0.018512;225.30;288.573529;7.019722;8.47;
J1914+08;0.440048;285.00;288.575000;8.750000;7.83;
B1911+11;0.600997;100.00;288.542167;11.367694;3.14;
J1915+0227;0.317306;192.60;288.758842;2.463269;10.28;
J1915+0738;1.542704;39.00;288.853333;7.642056;1.40;
J1915+0752;2.058314;105.30;288.758083;7.869222;3.56;
J1915+0838;0.342777;358.00;288.807792;8.649917;10.85;
B1913+10;0.404547;241.69;288.874933;10.162131;5.99;
